Stars,Title,Entry ID,Date Added,Date Modified,flags,Ionization Penalty,State Penalty,Tot Q,Prime Energy,Potential Energy-OPLS-2005,Relative Potential Energy-OPLS-2005,OPLSVersion,MMGBSA dG Bind,cdock affinity,docking score,Potential Energy-S-OPLS,Relative Potential Energy-S-OPLS,Potential Energy-MMFF94s,Relative Potential Energy-MMFF94s
,BTZ-043,1,2023-02-13 10:25:32,2023-02-13 10:25:32,0,0.0227,0.0183,0,-16888.99,-0.827,0,OPLS4,-53.98,-7.011,-7.011,,,,
,TFK-471,3,2023-02-13 10:25:32,2023-02-13 10:25:32,0,0.0681,0.2906,0,-16898.34,-18.106,0,OPLS4,-47.94,-5.586,-5.586,,,,
,TFK-449,5,2023-02-13 10:25:33,2023-02-13 10:25:33,0,0.0329,0.1472,0,-16900.32,,,OPLS4,-48.93,-5.553,-5.553,,15.995,,
,TFK-483,7,2023-02-13 10:25:33,2023-02-13 10:25:33,0,0.0054,0.0039,0,-16885.15,-0.07,0,OPLS4,-51.66,-6.195,-6.195,,,,
,TFK-520,8,2023-02-13 10:25:33,2023-02-13 10:25:33,0,0.2849,0.2776,-1,-16889.5,,,OPLS4,-33.8,-5.107,-5.107,-209.613,0,,
,TFK-543,10,2023-02-13 10:25:33,2023-02-13 10:25:33,0,0.0048,0.0035,0,-16883.9,-4.85,0,OPLS4,-48.95,-6.196,-6.196,,,,
,TFK-718,11,2023-02-13 10:25:33,2023-02-13 10:25:33,0,0.0365,0.0305,0,-16886.37,,,OPLS4,-40.23,-6.43,-6.43,,,-116.664,0
,TFK-719,13,2023-02-13 10:25:34,2023-02-13 10:25:34,0,0.0377,0.0316,0,-16894.25,,,OPLS4,-46.43,-6.558,-6.558,-403.876,0,,
,TFK-709-2,15,2023-02-13 10:25:34,2023-02-13 10:25:34,0,0.036,0.03,0,-16870.36,,,OPLS4,-52.14,-6.684,-6.684,,41.254,,
,TFK-710,17,2023-02-13 10:25:34,2023-02-13 10:25:34,0,0.0338,0.0281,0,-16884.35,,,OPLS4,-45.26,-6.56,-6.56,,,-92.559,0
,TFK-726,27,2023-02-13 10:25:35,2023-02-13 10:25:35,0,0.0406,0.0342,0,-16925.56,,,OPLS4,-46.59,-6.198,-6.198,,5.289,,
,TFK-727,29,2023-02-13 10:25:36,2023-02-13 10:25:36,0,0.0406,0.0342,0,-16890.02,,,OPLS4,-42.81,-5.771,-5.771,,,-280.906,0
,TFK-660,31,2023-02-13 10:25:36,2023-02-13 10:25:36,0,0.0487,0.0415,0,-16864.88,,,OPLS4,-46,-5.736,-5.736,,61.699,,
,TFK-659,33,2023-02-13 10:25:36,2023-02-13 10:25:36,0,0.0404,0.034,0,-16877.34,,,OPLS4,-31.69,-5.397,-5.397,-380.504,0,,
,TFK-661,37,2023-02-13 10:25:37,2023-02-13 10:25:37,0,0.0373,0.0312,0,-16847.28,,,OPLS4,-40.55,-5.888,-5.888,,68.492,,
,dehal-BTZ,39,2023-02-13 10:25:37,2023-02-13 10:25:37,0,0.2287,0.2287,0,-16880.22,,,OPLS4,-39.59,-5.896,-5.896,,22.079,,
,TFK-746,41,2023-02-13 10:25:37,2023-02-13 10:25:37,0,0.0314,0.0289,0,-16887.55,,,OPLS4,-49.08,-5.932,-5.932,,,-54.583,0
