title,r_adme_Log_Perm_RRCK,r_adme_Membrane_dG_Insert,r_adme_Membrane_Penalty,r_adme_Membrane_HDLD,r_adme_Membrane_Energy,r_adme_Solvent_Energy,r_adme_Membrane_GB,r_adme_Solvent_GB,r_adme_Volume,r_adme_Membrane_HDLD_GB
BTZ-043,-4.53908473315449,1.17840851063651,0.1028,1.07560851063651,-3.84454805633875,-4.92015656697527,-3.12746419022525,-10.3197471318855,707.770698551029,7.19228294166027
TFK-449,-4.59002987818268,3.01455053797572,0.1447,2.86985053797572,-9.65962485148638,-12.5294753894621,-3.15950884738953,-9.76825066445298,671.75613277435,6.60874181706345
TFK-471,-4.65251618000626,4.08241838127228,0.2748,3.80761838127228,-3.29007827872746,-7.09769665999974,-2.97329645590075,-9.48523495869884,677.49082323135,6.51193850279809
TFK-483,-4.64654113582293,4.15954420272475,0.0255,4.13404420272475,1.9066980836083,-2.22734611911645,-4.49439444363911,-12.3042188412481,693.816791181335,7.80982439760901
TFK-520,-5.84240185848352,17.5295218114168,6.6327,10.8968218114168,-10.1301560386904,-21.0269778501072,-5.41884688814022,-19.5737719041104,705.272626595008,14.1549250159702
TFK-543,-4.70593494726397,4.42620968569353,0.0229,4.40330968569353,2.40467773262262,-1.99863195307091,-3.82921256248909,-12.3126463842397,749.91856634378,8.48343382175062
TFK-659,-5.00036998604523,9.95214329968868,0.1741,9.77804329968868,-16.0280305911622,-25.8060738908509,-7.42268419019101,-19.873011798771,802.700982355932,12.45032760858
TFK-660,-4.85058566619975,6.35161772692887,0.2057,6.14591772692887,18.3443326592663,12.1984149323374,-5.08902981095424,-14.840093471719,803.030154245385,9.75106366076479
TFK-661,-4.89779671554171,7.29967974642732,0.1621,7.13757974642732,19.1222821866359,11.9847024402086,-5.37518709474564,-15.5222978707898,815.800204783451,10.1471107760442
TFK-710,-4.81819863265899,5.59606255317742,0.1485,5.44756255317742,-1.38454048233302,-6.83210303551044,-4.55622937426321,-14.3865813909379,808.921282402964,9.83035201667468
TFK-718,-4.72497007311936,3.77254690454328,0.1592,3.61334690454328,4.28397537743362,0.670628472890343,-3.63147684557936,-12.1095879403895,789.490859089746,8.47811109481015
TFK-719,-4.72918710167882,3.05974301054745,0.1639,2.89584301054745,3.99827514487029,1.10243213432284,-3.46863923842213,-11.8556128772595,829.063151835712,8.38697363883733
TFK-726,-4.88933635754142,9.23255221338876,0.1749,9.05765221338876,-24.1834544928618,-33.2411067062506,-5.92371618039991,-16.7419325342125,709.175073719389,10.8182163538126
TFK-727,-4.89781725555156,8.48140599794637,0.1749,8.30650599794637,-5.69021945165801,-13.9967254496044,-5.66795420370411,-16.2766433047983,756.102613982387,10.6086891010942
TFK-746,-4.77405013948988,5.05832105609147,0.1285,4.92982105609147,5.57848169872966,0.648660642638191,-4.13880673754517,-13.2395130313907,786.360911272926,9.10070629384558
TFK-709-2,-4.86263747233918,6.85887228705822,0.157,6.70187228705822,-0.478245009458277,-7.1801172965165,-5.66510807044725,-16.782246041727,797.277468222067,11.1171379712797
dehal-BTZ,-4.65031156778355,3.4949101835676,0.7042,2.7907101835676,10.4810234994708,7.69031331590324,-3.08685778840793,-9.5748691662352,657.29986641339,6.48801137782728
